original_text,cleaned_text,rating,sentiment,text_length
mantapp mantappp...😂 hiburan nonton video video lucu.video sadis.,mantapp mantappp hiburan nonton video video lucu video sadis,5,positive,60
sangat bagus,sangat bagus,5,positive,12
sangat Bagus,sangat bagus,5,positive,12
bagus bangat ig ini,bagus bangat ig ini,5,positive,19
baikkk sekali,baikkk sekali,5,positive,13
puas dengan apk nya,puas dengan apk nya,5,positive,19
enak banget tapi kadang ke hack kalo ga ke tangguhin,enak banget tapi kadang ke hack kalo ga ke tangguhin,5,positive,52
banyak iklan judol+iklan bokep,banyak iklan judol iklan bokep,1,negative,30
kenapa ya Instagram sering gak bisa di buka stuck di logo 😒,kenapa ya instagram sering gak bisa di buka stuck di logo,1,negative,57
Good Experience In Instagram,good experience in instagram,5,positive,28
trimakasih Instagram,trimakasih instagram,5,positive,20
kimay ngana,kimay ngana,1,negative,11
Jelas bagus gambarnya media massa yang telah membantu bagi para monitoring Instagram !,jelas bagus gambarnya media massa yang telah membantu bagi para monitoring instagram,5,positive,84
Make it more better...,make it more better,5,positive,19
HBS UPDATE APKNYA SERING GABISA DIBUKA!!! STUCK DITAMPILAN INSTAGRAMNYA DOANG PLSS HRS GMN INII,hbs update apknya sering gabisa dibuka stuck ditampilan instagramnya doang plss hrs gmn inii,1,negative,92
Highly interactive for social media,highly interactive for social media,5,positive,35
apk ini sangat berguna sekali bagi saya,apk ini sangat berguna sekali bagi saya,5,positive,39
Kenapa setiap post foto jadi burem🤨,kenapa setiap post foto jadi burem,4,positive,34
aplikasi ini akan menjadi favorite ku saat ini,aplikasi ini akan menjadi favorite ku saat ini,5,positive,46
manteppp tenannn,manteppp tenannn,5,positive,16
gasuka bngt sama tampilan yg sekarang,gasuka bngt sama tampilan yg sekarang,1,negative,37
kenapa gif sama sekali tidak muncul,kenapa gif sama sekali tidak muncul,1,negative,35
b aja bagus tapi b aja,b aja bagus tapi b aja,5,positive,22
waw aplikasi nya baguss🥰🥰,waw aplikasi nya baguss,5,positive,23
BAGUSS BANGAT,baguss bangat,5,positive,13
tolong di baca!! story yang di arsip kan malah jadi ilang gaada di arsip,tolong di baca story yang di arsip kan malah jadi ilang gaada di arsip,5,positive,70
ig saya belum di update otomatis jelek banget,ig saya belum di update otomatis jelek banget,1,negative,45
apk keren serba guna,apk keren serba guna,5,positive,20
"bagus,tapi lagu suka ilang pas dipostingan nya",bagus tapi lagu suka ilang pas dipostingan nya,4,positive,46
"Sedang mencoba, nanti kalau memang bagus, sy akan meralat kembali opini sy. Terimakasih.",sedang mencoba nanti kalau memang bagus sy akan meralat kembali opini sy terimakasih,4,positive,84
good aplikasi,good aplikasi,5,positive,13
bagusssss polllllllll realllllllllll,bagusssss polllllllll realllllllllll,5,positive,36
"makin kesini makin gak jelas ini aplikasi, dikit-dikit banned akun, padahal cuma ganti foto profil pake muka sendiri dan gak ada yang aneh aneh tapi malah di banned, giliran orang lain foto vulgar masih di pertahankan aneh",makin kesini makin gak jelas ini aplikasi dikit dikit banned akun padahal cuma ganti foto profil pake muka sendiri dan gak ada yang aneh aneh tapi malah di banned giliran orang lain foto vulgar masih di pertahankan aneh,1,negative,219
ig sangat buruk bikin brapa akun tetap kena suspend kalo kagak niat bikin aplikasi jangan bikin udah bikin banyak akun tetap kena suspend ig sekarang kurang layak sangat buruk,ig sangat buruk bikin brapa akun tetap kena suspend kalo kagak niat bikin aplikasi jangan bikin udah bikin banyak akun tetap kena suspend ig sekarang kurang layak sangat buruk,1,negative,175
"Jarang pakai,pake fb pro aja malah bikin puyeng",jarang pakai pake fb pro aja malah bikin puyeng,1,negative,47
sangat bagus,sangat bagus,5,positive,12
gemewshh bgt lucu,gemewshh bgt lucu,5,positive,17
"bagus, berguna, dan informatif, serta menghibur",bagus berguna dan informatif serta menghibur,5,positive,44
sangat bagus,sangat bagus,5,positive,12
"gtau lakuin pelanggaran apa tp tbtb akun aku dinonaktifkan permanen, pdhl itu main account aku, jd terpaksa deh bkin akun new, pliss kembaliin akun akuuuuuu",gtau lakuin pelanggaran apa tp tbtb akun aku dinonaktifkan permanen pdhl itu main account aku jd terpaksa deh bkin akun new pliss kembaliin akun akuuuuuu,1,negative,153
"Instagram udah kaga jelas gak ngapa ngapain tau tau di nonaktifkan akun gue, harus nya akun akun buzer nohh yang harus di blokir",instagram udah kaga jelas gak ngapa ngapain tau tau di nonaktifkan akun gue harus nya akun akun buzer nohh yang harus di blokir,1,negative,127
fitur live hilang,fitur live hilang,4,positive,17
Bagus bisa buat poto poto,bagus bisa buat poto poto,5,positive,25
sangat membantu,sangat membantu,5,positive,15
saya puas dengan menonton real di ig,saya puas dengan menonton real di ig,5,positive,36
aplikasi yang bagus,aplikasi yang bagus,5,positive,19
"Hai instagram mohon maaf kok di HP saya tidak ada fitur cutouts nya??, tolong saran / perbaikannya.... sebab instagram saya sudah di update yg ke versi terbarunya",hai instagram mohon maaf kok di hp saya tidak ada fitur cutouts nya tolong saran perbaikannya sebab instagram saya sudah di update yg ke versi terbarunya,2,negative,153
sangat memuaskan,sangat memuaskan,5,positive,16
Algoritmanya kenapa jadi aneeehhhhh 😮‍💨,algoritmanya kenapa jadi aneeehhhhh,1,negative,35
semakin kesini semakin gak worth it,semakin kesini semakin gak worth it,4,positive,35
cocok di gunakan,cocok di gunakan,5,positive,16
akun keluar sendiri gag jelas,akun keluar sendiri gag jelas,1,negative,29
"balikin akun utama gw lah, pdhl tu akun gk pernah di apa apain tb tb buka mau up twibon untuk dapat beasiswa malah di minta aju banding... kek apalah",balikin akun utama gw lah pdhl tu akun gk pernah di apa apain tb tb buka mau up twibon untuk dapat beasiswa malah di minta aju banding kek apalah,1,negative,145
Mantappppppp,mantappppppp,5,positive,12
"bagus 1000 karena kita bisa menemukan teman kita, dan juga kita bisa berinteraksi dengan orang sekitar.",bagus karena kita bisa menemukan teman kita dan juga kita bisa berinteraksi dengan orang sekitar,5,positive,96
saya suka instagram,saya suka instagram,4,positive,19
lah gua cari filter ga bisa bisa tolol,lah gua cari filter ga bisa bisa tolol,1,negative,38
keren fitur di first account saya kurang lengkap,keren fitur di first account saya kurang lengkap,5,positive,48
sukaa dehh soalnya buat berbagi pesan dan kesan for teman berbagai daerah,sukaa dehh soalnya buat berbagi pesan dan kesan for teman berbagai daerah,5,positive,73
sangat bagus dan penuh edukasi,sangat bagus dan penuh edukasi,5,positive,30
sangat bagus,sangat bagus,4,positive,12
memberikan platform yang menarik,memberikan platform yang menarik,5,positive,32
bagus keren mantap,bagus keren mantap,5,positive,18
sangat cocok,sangat cocok,5,positive,12
tidak bisa siaran langsung,tidak bisa siaran langsung,1,negative,26
sangat amat bagus,sangat amat bagus,5,positive,17
malah di kunci ig ku min 😭😭😭,malah di kunci ig ku min,1,negative,24
ig saya gk bisa nelfon. sama vc,ig saya gk bisa nelfon sama vc,1,negative,30
gimana cara mendapatkan uangnya😄,gimana cara mendapatkan uangnya,5,positive,31
jelek banget siap di update malah story Instagram nya tidak bisa di save ke gallery 😭😭,jelek banget siap di update malah story instagram nya tidak bisa di save ke gallery,1,negative,83
kenapa tidak bisa diinstal ulang dan tidak bisa di update padahal tulisan updatenya kelihatan loh?,kenapa tidak bisa diinstal ulang dan tidak bisa di update padahal tulisan updatenya kelihatan loh,1,negative,97
followersnya tiba' sering berkurang,followersnya tiba sering berkurang,2,negative,34
sangat baik,sangat baik,5,positive,11
sangat bgus,sangat bgus,5,positive,11
"kecewa ama kebijakan instagram, memenuhi kebijakan standar justru mepersulit, ketiga akun saya kena nonaktifkan permanent, padahal tidam melakukan apa² (jarang post) alih² tidam memenuhi kelayakan standar, bahkan akun baru saya 2 haru kena nonaktifkan permanent.",kecewa ama kebijakan instagram memenuhi kebijakan standar justru mepersulit ketiga akun saya kena nonaktifkan permanent padahal tidam melakukan apa jarang post alih tidam memenuhi kelayakan standar bahkan akun baru saya haru kena nonaktifkan permanent,1,negative,251
kenapaa dikasihh hilang notes ig nyaa? padahall bagus klo ada catatan ig mohon dikembalikann,kenapaa dikasihh hilang notes ig nyaa padahall bagus klo ada catatan ig mohon dikembalikann,4,positive,91
sangat menarik dan aku nyaman menggunakan app ini,sangat menarik dan aku nyaman menggunakan app ini,5,positive,49
lagi belajar buat konten,lagi belajar buat konten,5,positive,24
"sering bug, mau bikin snap via kamera ig. malah hitam layar.",sering bug mau bikin snap via kamera ig malah hitam layar,1,negative,57
Trlalu bnyk updte dan bug nya tlng dng prbaiki,trlalu bnyk updte dan bug nya tlng dng prbaiki,1,negative,46
pendapat saya bagus,pendapat saya bagus,5,positive,19
sangat baik bagi saya,sangat baik bagi saya,5,positive,21
bagusss keren dehh pokoknya,bagusss keren dehh pokoknya,5,positive,27
durasi nya plis di panjang gin lagi 30 detik gtuk,durasi nya plis di panjang gin lagi detik gtuk,5,positive,46
live streaming jadi harus 1k followers kembalikan sistem yang dulu,live streaming jadi harus k followers kembalikan sistem yang dulu,1,negative,65
fitur di akun awal saya tidak lengkap gabisa live gabisa tambah catatan dengan kamera saya ke pusat bantuan ig ttp gabisa perbaiki. di akun kedua gaada fitur post ulang...,fitur di akun awal saya tidak lengkap gabisa live gabisa tambah catatan dengan kamera saya ke pusat bantuan ig ttp gabisa perbaiki di akun kedua gaada fitur post ulang,1,negative,167
oke mantap lah🔥🔥🔥,oke mantap lah,5,positive,14
Aplikasi bagus banget bisa ambil foto idolaku,aplikasi bagus banget bisa ambil foto idolaku,5,positive,45
"kenapa anda menghapus stiker quiz, apakah anda tidak menghargai konten kreator yang ingin berkembang? come on",kenapa anda menghapus stiker quiz apakah anda tidak menghargai konten kreator yang ingin berkembang come on,1,negative,107
aplikasi terbaik,aplikasi terbaik,5,positive,16
Bagus banget bisa foto tanpa kuota 🖤,bagus banget bisa foto tanpa kuota,5,positive,34
instagram bagus,instagram bagus,5,positive,15
knpa ya fitur live hilng?,knpa ya fitur live hilng,5,positive,24
aplikasi tolol ora kena ngelive aplikasi moressss,aplikasi tolol ora kena ngelive aplikasi moressss,1,negative,49
"seruuu liatt reels nyaaa wk'. tapi, skrng gbsa buka ig lagi, gtw apa sebabnya.",seruuu liatt reels nyaaa wk tapi skrng gbsa buka ig lagi gtw apa sebabnya,4,positive,73
aplikasi ini sangat bagus,aplikasi ini sangat bagus,5,positive,25
bagus bhertt,bagus bhertt,5,positive,12
"aku sering di prank sam orang di Ig, dia mengikuti, dan pas aku ikuti balik dia unfollow, kan anjj, kalo bisa orang yg di ikuti tidak bisa di unfollow lagi.. TRIMAKASIH, SALAM ORANG KESEL!!!",aku sering di prank sam orang di ig dia mengikuti dan pas aku ikuti balik dia unfollow kan anjj kalo bisa orang yg di ikuti tidak bisa di unfollow lagi trimakasih salam orang kesel,1,negative,180
semoga lebih baik lagi instragram buat kedepan nya,semoga lebih baik lagi instragram buat kedepan nya,5,positive,50
Karena aplikasih ini bisa menemani hari Hari kits,karena aplikasih ini bisa menemani hari hari kits,5,positive,49
Deskripsikan pengalaman Anda (opsional),deskripsikan pengalaman anda opsional,5,positive,37
terlalu lama mengingstal,terlalu lama mengingstal,1,negative,24
sial fitur baru baru ini dihapus gak fungsi,sial fitur baru baru ini dihapus gak fungsi,2,negative,43
instgram Oke Banget,instgram oke banget,5,positive,19
bagus sekali,bagus sekali,5,positive,12
keren ..mudah upload video buat orang yang baru belajar digital,keren mudah upload video buat orang yang baru belajar digital,5,positive,61
"Gaje bgt ig, beberapa reels jadi gabisa jalan, kek aplikasi jaman jellybean!",gaje bgt ig beberapa reels jadi gabisa jalan kek aplikasi jaman jellybean,1,negative,73
banyak bug tolong di benerin sampul sorotan ga bisa di ganti padahal sinyal 5g pake wifi pula hadehhh,banyak bug tolong di benerin sampul sorotan ga bisa di ganti padahal sinyal g pake wifi pula hadehhh,1,negative,100
Kenapa enggak bisa download di hp saya,kenapa enggak bisa download di hp saya,5,positive,38
bagus sekali,bagus sekali,5,positive,12
"setelah update banyak bug, termasuk yang saya alami, saat membuka story ada bug template, foto tertutup template",setelah update banyak bug termasuk yang saya alami saat membuka story ada bug template foto tertutup template,1,negative,109
Seru bgt aku suka love yu,seru bgt aku suka love yu,5,positive,25
sekarang udh nggk asik lagi ig harus mencapai seribu baru bisa live kalah sama akun sebelah nggk maaf suka instagram yg dulu😭,sekarang udh nggk asik lagi ig harus mencapai seribu baru bisa live kalah sama akun sebelah nggk maaf suka instagram yg dulu,1,negative,124
keren banget bisa banyak teman dari apk ini,keren banget bisa banyak teman dari apk ini,5,positive,43
sangat membantu memadukan bakat kreator..sangat bagus luar biasa,sangat membantu memadukan bakat kreator sangat bagus luar biasa,5,positive,63
Bagus bangeyy,bagus bangeyy,5,positive,13
sangat cocok untuk semua,sangat cocok untuk semua,5,positive,24
sangat puas pakai aplikasi ini,sangat puas pakai aplikasi ini,5,positive,30
"gajelas gabisa live, harus 1000, padahal live buat asik asikan aja",gajelas gabisa live harus padahal live buat asik asikan aja,1,negative,59
suka main instagram karena fiturnya mudah dimengerti,suka main instagram karena fiturnya mudah dimengerti,5,positive,52
karena bisa mendapatkan pujaan hati,karena bisa mendapatkan pujaan hati,5,positive,35
IG membantu activity utk.promosi dll,ig membantu activity utk promosi dll,5,positive,36
buat bintang 5 agar dibaca tolong dong di benerin kadang postingan menghilang tapi di lihat dari akun lain ada,buat bintang agar dibaca tolong dong di benerin kadang postingan menghilang tapi di lihat dari akun lain ada,5,positive,108
Sangat membantu mewarnai setiap aktivitas ♥️♥️♥️♥️. Saran saya kalau bisa untuk video reel diperpanjang sampai 5 menit👏👏👏👏,sangat membantu mewarnai setiap aktivitas saran saya kalau bisa untuk video reel diperpanjang sampai menit,5,positive,106
"bagus, dan keren",bagus dan keren,5,positive,15
intinya aplikasi ini sangat jelek sekali!!!,intinya aplikasi ini sangat jelek sekali,1,negative,40
"Keamanan data apanya yg terjamin, data bocor sana sini, bot masuk k akun follow unfollow orang gak jelas sampe akun d tangguhkan, cape banget",keamanan data apanya yg terjamin data bocor sana sini bot masuk k akun follow unfollow orang gak jelas sampe akun d tangguhkan cape banget,1,negative,138
Mantafff jiwa...,mantafff jiwa,5,positive,13
pembelajaran buat diri sendiri,pembelajaran buat diri sendiri,5,positive,30
kenapa tidak bisa kirim gif ini!!...bisanya bisa,kenapa tidak bisa kirim gif ini bisanya bisa,1,negative,44
"it's so good, thanks",it s so good thanks,4,positive,19
bagus aja si,bagus aja si,5,positive,12
"kenapa gabisa live sekarang, harus 1000 followers dulu baru bisa live aneh tolong dibenahi",kenapa gabisa live sekarang harus followers dulu baru bisa live aneh tolong dibenahi,1,negative,84
"ig lama lamaa aneh benerrr,gatau akun gue ke hack apa gimana tiba' ngefollow org' luar yg aneh,org india lah apa lah. tolong dong di benerinnnn,udah gue uninstall karna takut ke hack.",ig lama lamaa aneh benerrr gatau akun gue ke hack apa gimana tiba ngefollow org luar yg aneh org india lah apa lah tolong dong di benerinnnn udah gue uninstall karna takut ke hack,1,negative,179
mantap luar biasa,mantap luar biasa,5,positive,17
live nya woe,live nya woe,1,negative,12
lancar lancar saja,lancar lancar saja,4,positive,18
berbagi itu indah,berbagi itu indah,5,positive,17
"aplikasi yang keren, banyak informasi yang saya dapatkan dari instagram",aplikasi yang keren banyak informasi yang saya dapatkan dari instagram,5,positive,70
Terlalu banyak iklan,terlalu banyak iklan,1,negative,20
saya suka sekali dengan Instagram,saya suka sekali dengan instagram,5,positive,33
"ini gimana sih ig,gw udah umur 16 tahun sekarang,masih gak bisa di buka priv akun nya,lagian buat apaansi nambah nambahin fitur priv akun segala,udah layout postingan nya di bikin jadi jelek,ini tambah jelek lagi pake fitur priv akun",ini gimana sih ig gw udah umur tahun sekarang masih gak bisa di buka priv akun nya lagian buat apaansi nambah nambahin fitur priv akun segala udah layout postingan nya di bikin jadi jelek ini tambah jelek lagi pake fitur priv akun,1,negative,230
bagus buat usaha hiburan dll,bagus buat usaha hiburan dll,5,positive,28
"akhir"" ini sering ngelag, tiba"" keluar aplikasi, gabisa buka dm akun atau pencarian, cuma bisa scroll beranda, ngebug , load nya jadi lama bgt",akhir ini sering ngelag tiba keluar aplikasi gabisa buka dm akun atau pencarian cuma bisa scroll beranda ngebug load nya jadi lama bgt,2,negative,134
"kalau update tuh kasih fitur yg bagus, bukan makin bobrok, error mulu ni ig gua masa kalau komen sesuatu komennya ga keliatan ilang ilangan",kalau update tuh kasih fitur yg bagus bukan makin bobrok error mulu ni ig gua masa kalau komen sesuatu komennya ga keliatan ilang ilangan,1,negative,137
akun gw kok ilang woy,akun gw kok ilang woy,1,negative,21
"Dari fitur sudah mulai banyak dan pengoptimalan pembaruan sudah mulai bagus, semoga Instagram bisa memberi pembaruan lebih baik lagi di versi pembaruan berikutnya.",dari fitur sudah mulai banyak dan pengoptimalan pembaruan sudah mulai bagus semoga instagram bisa memberi pembaruan lebih baik lagi di versi pembaruan berikutnya,5,positive,161
luar biasa bisa nonton vidio yang seru dan lainnya bisa chat dengan teman pokoknya mantap,luar biasa bisa nonton vidio yang seru dan lainnya bisa chat dengan teman pokoknya mantap,5,positive,89
"Instagram ancur banget skrang, masa saya gak bisa login, padahal kata sandi udah bener tapi di bilang salah😡... balikin akun saya gak.. 😡",instagram ancur banget skrang masa saya gak bisa login padahal kata sandi udah bener tapi di bilang salah balikin akun saya gak,1,negative,127
bangus banget hd lagi co co,bangus banget hd lagi co co,1,negative,27
bagus banyak video reall yang lucu dan berguna,bagus banyak video reall yang lucu dan berguna,5,positive,46
lumayan bagus,lumayan bagus,4,positive,13
Wah bagus sekali apk ini!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?!!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!¡!!!!!+!!!!!!!!!! Ngapai liat ke bawah,wah bagus sekali apk ini ngapai liat ke bawah,2,negative,45
My Instagram admin has an error and now it can't be opened,my instagram admin has an error and now it can t be opened,2,negative,58
"aplikasi sdh di close tp sound, suara² msh ada. hrs di restart hp lagi",aplikasi sdh di close tp sound suara msh ada hrs di restart hp lagi,1,negative,67
sangat bagus,sangat bagus,5,positive,12
kenapa daftar Instagram wajib pake nomor telepon percuma dong pilihannya saat mendaftar dibuat pilihan daftar pakai email/no hp,kenapa daftar instagram wajib pake nomor telepon percuma dong pilihannya saat mendaftar dibuat pilihan daftar pakai email no hp,1,negative,127
"it all depends on you, will this ig kill you or make you rich",it all depends on you will this ig kill you or make you rich,5,positive,60
siapa sih yang ngak tau Instagram,siapa sih yang ngak tau instagram,5,positive,33
sangat bagussss,sangat bagussss,5,positive,15
"I intentionally gave it one star because I was disappointed that I couldn't log in via Facebook, and the username and password were always incorrect and gave me errors. Please fix this in the future. Thank you. Sengaja kasih bintang satu, karena kecewa tidak bisa login melalui Fb dan maupun username dan sandi selalu salah dan error. mohon di perbaiki kedepannya. Terima kasih",i intentionally gave it one star because i was disappointed that i couldn t log in via facebook and the username and password were always incorrect and gave me errors please fix this in the future thank you sengaja kasih bintang satu karena kecewa tidak bisa login melalui fb dan maupun username dan sandi selalu salah dan error mohon di perbaiki kedepannya terima kasih,1,negative,370
good aplikasi,good aplikasi,5,positive,13
sangat bags,sangat bags,5,positive,11
"kenapa ig gabsa live huhu, padahal akun aman aman aja tpi bacaannya ""tidak memenuhi syarat""",kenapa ig gabsa live huhu padahal akun aman aman aja tpi bacaannya tidak memenuhi syarat,2,negative,88
sangat bagus,sangat bagus,5,positive,12
"Ngebuk gk jelas ,,keluar sendri geram kadang",ngebuk gk jelas keluar sendri geram kadang,1,negative,42
WHY DID YOU REMOVE MY FAVORITE FILTER?,why did you remove my favorite filter,1,negative,37
Mantap Joss pokok nya,mantap joss pokok nya,4,positive,21
ga bisa siaran langsung,ga bisa siaran langsung,1,negative,23
semoga centang biru 😁,semoga centang biru,5,positive,19
Ini Ig bug filter nya ilang tolong kembalikan efek yg dulu,ini ig bug filter nya ilang tolong kembalikan efek yg dulu,2,negative,58
akun gua keblokir mulu cape,akun gua keblokir mulu cape,1,negative,27
semoga semakin banyak kemudahan dalam bermedia sosial,semoga semakin banyak kemudahan dalam bermedia sosial,5,positive,53
pokonya sukaa😊,pokonya sukaa,5,positive,13
Instagram sangat baik dan model banyak,instagram sangat baik dan model banyak,5,positive,38
sangat bagus,sangat bagus,5,positive,12
sangat bagus,sangat bagus,5,positive,12
ganti profil highlight nya loading mulu,ganti profil highlight nya loading mulu,1,negative,39
"kenapa jadi ikut2an tiktok si, followersnya harus banyak dulu baru bisa live",kenapa jadi ikut an tiktok si followersnya harus banyak dulu baru bisa live,1,negative,75
bagus bngt update yg terbaru makin cinta deh,bagus bngt update yg terbaru makin cinta deh,5,positive,44
mohon bantuannya biar Fyp..Terimakasih Instagram,mohon bantuannya biar fyp terimakasih instagram,5,positive,47
sangat bangusss,sangat bangusss,5,positive,15
aplikasi ini sangat seru dan cocok buat foto²,aplikasi ini sangat seru dan cocok buat foto,5,positive,44
terlalu banyak iklan judol,terlalu banyak iklan judol,4,positive,26
semenjak di-update siaran langsung atau live jadi gabisa minimal hrs 1000 pengikut jdi gabisa live lg,semenjak di update siaran langsung atau live jadi gabisa minimal hrs pengikut jdi gabisa live lg,1,negative,96
"apk nya baguss, tapi ak mw adaa fitur ganti lagu.. soalnya aku selalu aja berubah pikiran😜",apk nya baguss tapi ak mw adaa fitur ganti lagu soalnya aku selalu aja berubah pikiran,5,positive,86
Ig makin lama makin aneh masa pw bener ga bisa masuk tolong lah Ig sampe sekarang Ig aku ga bisa di loginin,ig makin lama makin aneh masa pw bener ga bisa masuk tolong lah ig sampe sekarang ig aku ga bisa di loginin,5,positive,107
Tetap menjaga kualitas,tetap menjaga kualitas,5,positive,22
banyak manfaatnya bila bijak,banyak manfaatnya bila bijak,5,positive,28
"masa akun saya ditangguhkan terus disuruh ajubanding padahal akunku udah jarang upload ,terus pas bikin akun baru malah kejadian yang sama",masa akun saya ditangguhkan terus disuruh ajubanding padahal akunku udah jarang upload terus pas bikin akun baru malah kejadian yang sama,1,negative,137
Bagusssss sekalih epribdeh,bagusssss sekalih epribdeh,4,positive,26
Instagram tolong dong adain fitur repostnya saya udh berkali2 update tp masih gaada menu repost-an buat postingan2 yg saya sukai :(,instagram tolong dong adain fitur repostnya saya udh berkali update tp masih gaada menu repost an buat postingan yg saya sukai,2,negative,126
kak saran ya Untuk postingan itu di update misal slide tinggal dia tu bisa di hapus salah satu kak,kak saran ya untuk postingan itu di update misal slide tinggal dia tu bisa di hapus salah satu kak,4,positive,98
"Tidak dapat digunakan,apa penyebab nya",tidak dapat digunakan apa penyebab nya,5,positive,38
Instagram adalah aplikasi yang seru dan asik aku memberi bintang lima,instagram adalah aplikasi yang seru dan asik aku memberi bintang lima,5,positive,69
seru sih ga pernah di blok KLO tiktok KLO umur nya blom cukup tinggi bakal di blok sama tiktok/tante²,seru sih ga pernah di blok klo tiktok klo umur nya blom cukup tinggi bakal di blok sama tiktok tante,5,positive,100
"saya senang menggunakan instagram..karena dapat berinteraksi dengan orang yang jauh..juga bisa upload foto,video,reel dan cerita..",saya senang menggunakan instagram karena dapat berinteraksi dengan orang yang jauh juga bisa upload foto video reel dan cerita,4,positive,126
Bagus tapi sering dapat iklan,bagus tapi sering dapat iklan,5,positive,29
suka banget,suka banget,5,positive,11
kenapa akun ku selalu eror?,kenapa akun ku selalu eror,1,negative,26
iyami bagus,iyami bagus,5,positive,11
aneh bnget masa akun saya ga bisa live padahal followers udh 1k,aneh bnget masa akun saya ga bisa live padahal followers udh k,1,negative,62
Bagus Bnget aku suka Karna Aku Bisa Melihat Fanss akuu,bagus bnget aku suka karna aku bisa melihat fanss akuu,5,positive,54
"tolong buat atmin perbaiki bug saat ganti profil sorotan, setiap mau ganti foto sorotan ngeleg loading mulu udh lama bug nya ga pernah di fix, pdhl sinyal/jaringan bagus dan lancar",tolong buat atmin perbaiki bug saat ganti profil sorotan setiap mau ganti foto sorotan ngeleg loading mulu udh lama bug nya ga pernah di fix pdhl sinyal jaringan bagus dan lancar,2,negative,178
tidak ada fitur livenya hilang,tidak ada fitur livenya hilang,1,negative,30
Tolong kembalikan lagi akun saya yang terkena suspend,tolong kembalikan lagi akun saya yang terkena suspend,1,negative,53
"Dari bintang 5 menjadi bintang 1, karena tidak bisa lihat tanggal postingan. Tolong balikin agar bisa liat tanggal postingan",dari bintang menjadi bintang karena tidak bisa lihat tanggal postingan tolong balikin agar bisa liat tanggal postingan,1,negative,118
Bagus apk nyaa,bagus apk nyaa,5,positive,14
tambahin fitur timer,tambahin fitur timer,5,positive,20
"bagus, efek nya",bagus efek nya,4,positive,14
👍sangat bagus,sangat bagus,5,positive,12
Instagram ini gimana ya saya mau bikin akun malah menolak akses,instagram ini gimana ya saya mau bikin akun malah menolak akses,4,positive,63
Good aplikasi,good aplikasi,5,positive,13
menarik pembeli,menarik pembeli,5,positive,15
blok fitur penting malah di ilangin,blok fitur penting malah di ilangin,2,negative,35
"akun ilang,ga jelas banget.",akun ilang ga jelas banget,1,negative,26
"Instagram makin sering update,makin sering nge lag dan kadang suka lama,padahal hp saya ram mendukung dan jaringan pun lancar internet,tolong lah developer perbaiki",instagram makin sering update makin sering nge lag dan kadang suka lama padahal hp saya ram mendukung dan jaringan pun lancar internet tolong lah developer perbaiki,5,positive,164
sangat bagus,sangat bagus,5,positive,12
bagus banget,bagus banget,5,positive,12
lumayan baik,lumayan baik,4,positive,12
"cerita ga bisa dilihat, aplikasi makin di update makin sering ngebug. udh kirim laporan tp ga digubris",cerita ga bisa dilihat aplikasi makin di update makin sering ngebug udh kirim laporan tp ga digubris,1,negative,100
Kualitas video yang tetap jernih,kualitas video yang tetap jernih,5,positive,32
kasih fyp rells ig saya justcallpron,kasih fyp rells ig saya justcallpron,5,positive,36
bagus nyaman,bagus nyaman,4,positive,12
aplikasi medsos favorit gua,aplikasi medsos favorit gua,5,positive,27
sering eror gabisa buat story ig,sering eror gabisa buat story ig,1,negative,32
Ada akun yang tidak bisa ditelusurin❗️,ada akun yang tidak bisa ditelusurin,1,negative,36
tolong perbaiki bug nya. gak bisa di buka aplikasi nya,tolong perbaiki bug nya gak bisa di buka aplikasi nya,1,negative,53
Aku kasih bintang 5 kalo font nya bisa ikut sistem.,aku kasih bintang kalo font nya bisa ikut sistem,4,positive,48
sangat senang scrol Instagram sangat memuaskan,sangat senang scrol instagram sangat memuaskan,5,positive,46
plis ini kenapa postingan orang yg baru ko.di.aku ga ada,plis ini kenapa postingan orang yg baru ko di aku ga ada,2,negative,56
Lumayan okee,lumayan okee,4,positive,12
akun saya keben,akun saya keben,5,positive,15
aplikasi bagus,aplikasi bagus,5,positive,14
efek nya kurang,efek nya kurang,1,negative,15
"KENAPA FITUR KOMEN DI STORY GA MUNCUL PDHL UDAA UPDATE TRUSS, TOLONG DONGG MUNCULIINN UDAA NUNGGU LAMAAA BGT BGT BGTT INIII😡😡😡",kenapa fitur komen di story ga muncul pdhl udaa update truss tolong dongg munculiinn udaa nunggu lamaaa bgt bgt bgtt iniii,1,negative,122
semakin di update semakin bnyak yg menurun kualitas nya,semakin di update semakin bnyak yg menurun kualitas nya,2,negative,55
bagus lah aplikasi ini byk temen dan bisa buat tren²,bagus lah aplikasi ini byk temen dan bisa buat tren,5,positive,51
balikin feed ig yang dulu ga😓,balikin feed ig yang dulu ga,2,negative,28
Saya sudah 1 tahun lebih main Ig sangat menarik dan baguss,saya sudah tahun lebih main ig sangat menarik dan baguss,5,positive,56
sosmed terfavorit,sosmed terfavorit,5,positive,17
bebaskan diri dg berekspresi sesukamu....,bebaskan diri dg berekspresi sesukamu,5,positive,37
Seru bangett,seru bangett,5,positive,12
